year,geo,naics,hours_worked
1987,Canada,Construction [23],39.9
1988,Canada,Construction [23],40.6
1989,Canada,Construction [23],41
1990,Canada,Construction [23],40.5
1991,Canada,Construction [23],39.3
1992,Canada,Construction [23],38.2
1993,Canada,Construction [23],38.8
1994,Canada,Construction [23],40
1995,Canada,Construction [23],39.5
1996,Canada,Construction [23],40.2
1997,Canada,Construction [23],40.4
1998,Canada,Construction [23],40.3
1999,Canada,Construction [23],40.5
2000,Canada,Construction [23],40.8
2001,Canada,Construction [23],40.4
2002,Canada,Construction [23],40.1
2003,Canada,Construction [23],39.3
2004,Canada,Construction [23],40.1
2005,Canada,Construction [23],40.1
2006,Canada,Construction [23],39.9
2007,Canada,Construction [23],40.4
2008,Canada,Construction [23],40.1
2009,Canada,Construction [23],39
2010,Canada,Construction [23],39.6
2011,Canada,Construction [23],39.8
2012,Canada,Construction [23],40.4
2013,Canada,Construction [23],39.9
2014,Canada,Construction [23],39.5
2015,Canada,Construction [23],39.9
2016,Canada,Construction [23],39.6
2017,Canada,Construction [23],39.5
2018,Canada,Construction [23],39.8
2019,Canada,Construction [23],39.1
2020,Canada,Construction [23],38.6
1987,Canada,Manufacturing [31-33],39.5
1988,Canada,Manufacturing [31-33],40.2
1989,Canada,Manufacturing [31-33],40.6
1990,Canada,Manufacturing [31-33],40.4
1991,Canada,Manufacturing [31-33],39.7
1992,Canada,Manufacturing [31-33],39.3
1993,Canada,Manufacturing [31-33],40
1994,Canada,Manufacturing [31-33],40.4
1995,Canada,Manufacturing [31-33],40
1996,Canada,Manufacturing [31-33],40.4
1997,Canada,Manufacturing [31-33],40.6
1998,Canada,Manufacturing [31-33],40.3
1999,Canada,Manufacturing [31-33],40.5
2000,Canada,Manufacturing [31-33],40.8
2001,Canada,Manufacturing [31-33],40
2002,Canada,Manufacturing [31-33],40.1
2003,Canada,Manufacturing [31-33],39.4
2004,Canada,Manufacturing [31-33],40
2005,Canada,Manufacturing [31-33],40.2
2006,Canada,Manufacturing [31-33],40
2007,Canada,Manufacturing [31-33],40.1
2008,Canada,Manufacturing [31-33],39.8
2009,Canada,Manufacturing [31-33],38.6
2010,Canada,Manufacturing [31-33],39.5
2011,Canada,Manufacturing [31-33],39.6
2012,Canada,Manufacturing [31-33],39.8
2013,Canada,Manufacturing [31-33],39.6
2014,Canada,Manufacturing [31-33],39.3
2015,Canada,Manufacturing [31-33],39.6
2016,Canada,Manufacturing [31-33],39.5
2017,Canada,Manufacturing [31-33],39.2
2018,Canada,Manufacturing [31-33],39.9
2019,Canada,Manufacturing [31-33],39.1
2020,Canada,Manufacturing [31-33],39.1
1987,Canada,"Wholesale and retail trade		 [41, 44-45]",34.9
1988,Canada,"Wholesale and retail trade		 [41, 44-45]",35.3
