year,geo,noc,hours_worked
1987,Canada,"Total, all occupations",36.9
1988,Canada,"Total, all occupations",37.4
1989,Canada,"Total, all occupations",37.8
1990,Canada,"Total, all occupations",37.6
1991,Canada,"Total, all occupations",36.8
1992,Canada,"Total, all occupations",36.2
1993,Canada,"Total, all occupations",36.5
1994,Canada,"Total, all occupations",36.9
1995,Canada,"Total, all occupations",36.7
1996,Canada,"Total, all occupations",36.9
1997,Canada,"Total, all occupations",37.1
1998,Canada,"Total, all occupations",36.9
1999,Canada,"Total, all occupations",37
2000,Canada,"Total, all occupations",37.2
2001,Canada,"Total, all occupations",36.7
2002,Canada,"Total, all occupations",36.4
2003,Canada,"Total, all occupations",35.9
2004,Canada,"Total, all occupations",36.2
2005,Canada,"Total, all occupations",36.4
2006,Canada,"Total, all occupations",36.2
2007,Canada,"Total, all occupations",36.4
2008,Canada,"Total, all occupations",36.1
2009,Canada,"Total, all occupations",35.3
2010,Canada,"Total, all occupations",35.5
2011,Canada,"Total, all occupations",35.7
2012,Canada,"Total, all occupations",36
2013,Canada,"Total, all occupations",35.7
2014,Canada,"Total, all occupations",35.3
2015,Canada,"Total, all occupations",35.6
2016,Canada,"Total, all occupations",35.5
2017,Canada,"Total, all occupations",35.3
2018,Canada,"Total, all occupations",35.7
2019,Canada,"Total, all occupations",35.1
2020,Canada,"Total, all occupations",35.1
1987,Canada,Management occupations [0],45.7
1988,Canada,Management occupations [0],45.9
1989,Canada,Management occupations [0],46.2
1990,Canada,Management occupations [0],46
1991,Canada,Management occupations [0],45.4
1992,Canada,Management occupations [0],44.7
1993,Canada,Management occupations [0],45
1994,Canada,Management occupations [0],45.4
1995,Canada,Management occupations [0],45
1996,Canada,Management occupations [0],45.3
1997,Canada,Management occupations [0],45.2
1998,Canada,Management occupations [0],44.6
1999,Canada,Management occupations [0],45.3
2000,Canada,Management occupations [0],45.4
2001,Canada,Management occupations [0],45
2002,Canada,Management occupations [0],44.8
2003,Canada,Management occupations [0],44.1
2004,Canada,Management occupations [0],44.2
2005,Canada,Management occupations [0],44.2
2006,Canada,Management occupations [0],43.6
2007,Canada,Management occupations [0],44.2
2008,Canada,Management occupations [0],43.3
2009,Canada,Management occupations [0],42.6
2010,Canada,Management occupations [0],43
2011,Canada,Management occupations [0],42.7
2012,Canada,Management occupations [0],43.1
2013,Canada,Management occupations [0],42.9
2014,Canada,Management occupations [0],42.1
2015,Canada,Management occupations [0],42.4
2016,Canada,Management occupations [0],42.3
2017,Canada,Management occupations [0],41.6
2018,Canada,Management occupations [0],41.9
2019,Canada,Management occupations [0],41.1
2020,Canada,Management occupations [0],40.9
1987,Canada,Senior management occupations [00],44.4
1988,Canada,Senior management occupations [00],44.6
1989,Canada,Senior management occupations [00],43.9
1990,Canada,Senior management occupations [00],43.8
1991,Canada,Senior management occupations [00],44
1992,Canada,Senior management occupations [00],43.6
1993,Canada,Senior management occupations [00],45.3
1994,Canada,Senior management occupations [00],45.3
1995,Canada,Senior management occupations [00],45.7
1996,Canada,Senior management occupations [00],45.5
1997,Canada,Senior management occupations [00],46.2
1998,Canada,Senior management occupations [00],45.1
1999,Canada,Senior management occupations [00],46.1
2000,Canada,Senior management occupations [00],46.8
2001,Canada,Senior management occupations [00],46.1
2002,Canada,Senior management occupations [00],45.9
2003,Canada,Senior management occupations [00],44.7
2004,Canada,Senior management occupations [00],45.1
2005,Canada,Senior management occupations [00],45.6
2006,Canada,Senior management occupations [00],43.7
2007,Canada,Senior management occupations [00],45.2
2008,Canada,Senior management occupations [00],43.8
2009,Canada,Senior management occupations [00],43.6
2010,Canada,Senior management occupations [00],43.8
2011,Canada,Senior management occupations [00],44.1
2012,Canada,Senior management occupations [00],44.4
2013,Canada,Senior management occupations [00],44.1
2014,Canada,Senior management occupations [00],43
2015,Canada,Senior management occupations [00],42.5
2016,Canada,Senior management occupations [00],42.6
2017,Canada,Senior management occupations [00],42.3
2018,Canada,Senior management occupations [00],42.6
2019,Canada,Senior management occupations [00],41.7
2020,Canada,Senior management occupations [00],42.1
1987,Canada,Specialized middle management occupations [01-05],40.3
1988,Canada,Specialized middle management occupations [01-05],40.9
1989,Canada,Specialized middle management occupations [01-05],41.5
1990,Canada,Specialized middle management occupations [01-05],40.9
1991,Canada,Specialized middle management occupations [01-05],40.6
1992,Canada,Specialized middle management occupations [01-05],39.7
1993,Canada,Specialized middle management occupations [01-05],40.3
1994,Canada,Specialized middle management occupations [01-05],41.1
1995,Canada,Specialized middle management occupations [01-05],40.9
1996,Canada,Specialized middle management occupations [01-05],41.7
1997,Canada,Specialized middle management occupations [01-05],41.5
1998,Canada,Specialized middle management occupations [01-05],40.6
1999,Canada,Specialized middle management occupations [01-05],41.8
2000,Canada,Specialized middle management occupations [01-05],42.3
2001,Canada,Specialized middle management occupations [01-05],41.9
2002,Canada,Specialized middle management occupations [01-05],42.2
2003,Canada,Specialized middle management occupations [01-05],41.2
2004,Canada,Specialized middle management occupations [01-05],41
2005,Canada,Specialized middle management occupations [01-05],41.6
2006,Canada,Specialized middle management occupations [01-05],41.3
2007,Canada,Specialized middle management occupations [01-05],41.6
2008,Canada,Specialized middle management occupations [01-05],41.2
2009,Canada,Specialized middle management occupations [01-05],40.1
2010,Canada,Specialized middle management occupations [01-05],40.8
2011,Canada,Specialized middle management occupations [01-05],40.9
2012,Canada,Specialized middle management occupations [01-05],41.5
2013,Canada,Specialized middle management occupations [01-05],41.1
2014,Canada,Specialized middle management occupations [01-05],40.2
2015,Canada,Specialized middle management occupations [01-05],40.8
2016,Canada,Specialized middle management occupations [01-05],40.5
2017,Canada,Specialized middle management occupations [01-05],39.9
2018,Canada,Specialized middle management occupations [01-05],40.5
2019,Canada,Specialized middle management occupations [01-05],39.5
2020,Canada,Specialized middle management occupations [01-05],40.2
1987,Canada,Middle management occupations in retail and wholesale trade and customer services [06],46.4
