ind_fixed,geo_year,time_trend,geo_fixed,year,geo,ind,wage_rate_2010,wage_rate,hours_worked,rti,off
0,0-1997,1,0,1997,Alberta,Accommodation and food services [72],212.85,258.06,32.6,-0.371835888,-1.518085027
0,0-1998,2,0,1998,Alberta,Accommodation and food services [72],226.79,274.96,33.1,-0.371835888,-1.518085027
0,0-1999,3,0,1999,Alberta,Accommodation and food services [72],226.29,274.35,31.9,-0.371835888,-1.518085027
0,0-2000,4,0,2000,Alberta,Accommodation and food services [72],254.25,308.25,32.6,-0.371835888,-1.518085027
0,0-2001,5,0,2001,Alberta,Accommodation and food services [72],258.9,313.89,32.9,-0.371835888,-1.518085027
0,0-2002,6,0,2002,Alberta,Accommodation and food services [72],264.51,320.69,32,-0.371835888,-1.518085027
0,0-2003,7,0,2003,Alberta,Accommodation and food services [72],269.93,327.26,32.1,-0.371835888,-1.518085027
0,0-2004,8,0,2004,Alberta,Accommodation and food services [72],267.11,323.84,31.5,-0.371835888,-1.518085027
0,0-2005,9,0,2005,Alberta,Accommodation and food services [72],302.14,366.31,32.9,-0.371835888,-1.518085027
0,0-2006,10,0,2006,Alberta,Accommodation and food services [72],324.17,393.02,32.2,-0.371835888,-1.518085027
0,0-2007,11,0,2007,Alberta,Accommodation and food services [72],354.75,430.09,33.7,-0.371835888,-1.518085027
0,0-2008,12,0,2008,Alberta,Accommodation and food services [72],366.15,443.91,32.6,-0.371835888,-1.518085027
0,0-2009,13,0,2009,Alberta,Accommodation and food services [72],378.87,459.34,31.9,-0.371835888,-1.518085027
0,0-2010,14,0,2010,Alberta,Accommodation and food services [72],382.46,463.69,32.4,-0.371835888,-1.518085027
0,0-2011,15,0,2011,Alberta,Accommodation and food services [72],373.52,452.85,33,-0.371835888,-1.518085027
0,0-2012,16,0,2012,Alberta,Accommodation and food services [72],417.48,506.14,33.4,-0.371835888,-1.518085027
0,0-2013,17,0,2013,Alberta,Accommodation and food services [72],401.89,487.25,32.9,-0.371835888,-1.518085027
0,0-2014,18,0,2014,Alberta,Accommodation and food services [72],405.86,492.06,31.8,-0.371835888,-1.518085027
0,0-2015,19,0,2015,Alberta,Accommodation and food services [72],404.83,490.81,31.2,-0.371835888,-1.518085027
0,0-2016,20,0,2016,Alberta,Accommodation and food services [72],404.35,490.23,30.1,-0.371835888,-1.518085027
0,0-2017,21,0,2017,Alberta,Accommodation and food services [72],421.33,510.81,31.2,-0.371835888,-1.518085027
0,0-2018,22,0,2018,Alberta,Accommodation and food services [72],451.24,547.07,31.7,-0.371835888,-1.518085027
