occ_fixed,geo_year,time_trend,geo_fixed,year,geo,occ,hours_worked,rti,off
0,0-1987,1,0,1987,Alberta,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,0-1988,2,0,1988,Alberta,Administrative and financial supervisors and administrative occupations [12],36.2,-1.13485495,-0.47693655
0,0-1989,3,0,1989,Alberta,Administrative and financial supervisors and administrative occupations [12],37.5,-1.13485495,-0.47693655
0,0-1990,4,0,1990,Alberta,Administrative and financial supervisors and administrative occupations [12],37.8,-1.13485495,-0.47693655
0,0-1991,5,0,1991,Alberta,Administrative and financial supervisors and administrative occupations [12],36,-1.13485495,-0.47693655
0,0-1992,6,0,1992,Alberta,Administrative and financial supervisors and administrative occupations [12],35.3,-1.13485495,-0.47693655
0,0-1993,7,0,1993,Alberta,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,0-1994,8,0,1994,Alberta,Administrative and financial supervisors and administrative occupations [12],36.3,-1.13485495,-0.47693655
0,0-1995,9,0,1995,Alberta,Administrative and financial supervisors and administrative occupations [12],34.5,-1.13485495,-0.47693655
0,0-1996,10,0,1996,Alberta,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,0-1997,11,0,1997,Alberta,Administrative and financial supervisors and administrative occupations [12],35.5,-1.13485495,-0.47693655
0,0-1998,12,0,1998,Alberta,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,0-1999,13,0,1999,Alberta,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,0-2000,14,0,2000,Alberta,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,0-2001,15,0,2001,Alberta,Administrative and financial supervisors and administrative occupations [12],34.7,-1.13485495,-0.47693655
0,0-2002,16,0,2002,Alberta,Administrative and financial supervisors and administrative occupations [12],35,-1.13485495,-0.47693655
0,0-2003,17,0,2003,Alberta,Administrative and financial supervisors and administrative occupations [12],34.8,-1.13485495,-0.47693655
0,0-2004,18,0,2004,Alberta,Administrative and financial supervisors and administrative occupations [12],34.9,-1.13485495,-0.47693655
0,0-2005,19,0,2005,Alberta,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,0-2006,20,0,2006,Alberta,Administrative and financial supervisors and administrative occupations [12],35.8,-1.13485495,-0.47693655
0,0-2007,21,0,2007,Alberta,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,0-2008,22,0,2008,Alberta,Administrative and financial supervisors and administrative occupations [12],35.9,-1.13485495,-0.47693655
0,0-2009,23,0,2009,Alberta,Administrative and financial supervisors and administrative occupations [12],35.1,-1.13485495,-0.47693655
0,0-2010,24,0,2010,Alberta,Administrative and financial supervisors and administrative occupations [12],35.1,-1.13485495,-0.47693655
0,0-2011,25,0,2011,Alberta,Administrative and financial supervisors and administrative occupations [12],35.7,-1.13485495,-0.47693655
0,0-2012,26,0,2012,Alberta,Administrative and financial supervisors and administrative occupations [12],36.1,-1.13485495,-0.47693655
0,0-2013,27,0,2013,Alberta,Administrative and financial supervisors and administrative occupations [12],36.8,-1.13485495,-0.47693655
0,0-2014,28,0,2014,Alberta,Administrative and financial supervisors and administrative occupations [12],35.4,-1.13485495,-0.47693655
0,0-2015,29,0,2015,Alberta,Administrative and financial supervisors and administrative occupations [12],35.6,-1.13485495,-0.47693655
0,0-2016,30,0,2016,Alberta,Administrative and financial supervisors and administrative occupations [12],34.3,-1.13485495,-0.47693655
0,0-2017,31,0,2017,Alberta,Administrative and financial supervisors and administrative occupations [12],34.1,-1.13485495,-0.47693655
0,0-2018,32,0,2018,Alberta,Administrative and financial supervisors and administrative occupations [12],35.2,-1.13485495,-0.47693655
