occ_fixed,geo_year,time_trend,geo_fixed,year,geo,occ,wage_rate_2010,wage_rate,hours_worked,rti,off
0,0-1997,1,0,1997,Alberta,Administrative and financial supervisors and administrative occupations [12],446.18,540.94,35.5,-1.13485495,-0.47693655
0,0-1998,2,0,1998,Alberta,Administrative and financial supervisors and administrative occupations [12],481.93,584.28,35.7,-1.13485495,-0.47693655
0,0-1999,3,0,1999,Alberta,Administrative and financial supervisors and administrative occupations [12],462.59,560.84,35.4,-1.13485495,-0.47693655
0,0-2000,4,0,2000,Alberta,Administrative and financial supervisors and administrative occupations [12],472.55,572.91,35.8,-1.13485495,-0.47693655
0,0-2001,5,0,2001,Alberta,Administrative and financial supervisors and administrative occupations [12],485.24,588.3,34.7,-1.13485495,-0.47693655
0,0-2002,6,0,2002,Alberta,Administrative and financial supervisors and administrative occupations [12],504.37,611.49,35,-1.13485495,-0.47693655
0,0-2003,7,0,2003,Alberta,Administrative and financial supervisors and administrative occupations [12],541.40,656.38,34.8,-1.13485495,-0.47693655
0,0-2004,8,0,2004,Alberta,Administrative and financial supervisors and administrative occupations [12],553.24,670.74,34.9,-1.13485495,-0.47693655
0,0-2005,9,0,2005,Alberta,Administrative and financial supervisors and administrative occupations [12],588.66,713.68,35.7,-1.13485495,-0.47693655
0,0-2006,10,0,2006,Alberta,Administrative and financial supervisors and administrative occupations [12],606.29,735.05,35.8,-1.13485495,-0.47693655
0,0-2007,11,0,2007,Alberta,Administrative and financial supervisors and administrative occupations [12],648.96,786.79,36.1,-1.13485495,-0.47693655
0,0-2008,12,0,2008,Alberta,Administrative and financial supervisors and administrative occupations [12],673.06,816,35.9,-1.13485495,-0.47693655
0,0-2009,13,0,2009,Alberta,Administrative and financial supervisors and administrative occupations [12],717.51,869.89,35.1,-1.13485495,-0.47693655
0,0-2010,14,0,2010,Alberta,Administrative and financial supervisors and administrative occupations [12],740.99,898.36,35.1,-1.13485495,-0.47693655
0,0-2011,15,0,2011,Alberta,Administrative and financial supervisors and administrative occupations [12],757.01,917.79,35.7,-1.13485495,-0.47693655
0,0-2012,16,0,2012,Alberta,Administrative and financial supervisors and administrative occupations [12],773.29,937.52,36.1,-1.13485495,-0.47693655
0,0-2013,17,0,2013,Alberta,Administrative and financial supervisors and administrative occupations [12],857.85,1040.04,36.8,-1.13485495,-0.47693655
0,0-2014,18,0,2014,Alberta,Administrative and financial supervisors and administrative occupations [12],844.92,1024.37,35.4,-1.13485495,-0.47693655
0,0-2015,19,0,2015,Alberta,Administrative and financial supervisors and administrative occupations [12],906.91,1099.52,35.6,-1.13485495,-0.47693655
0,0-2016,20,0,2016,Alberta,Administrative and financial supervisors and administrative occupations [12],866.99,1051.12,34.3,-1.13485495,-0.47693655
0,0-2017,21,0,2017,Alberta,Administrative and financial supervisors and administrative occupations [12],845.44,1025,34.1,-1.13485495,-0.47693655
0,0-2018,22,0,2018,Alberta,Administrative and financial supervisors and administrative occupations [12],883.82,1071.53,35.2,-1.13485495,-0.47693655
0,1-1997,1,1,1997,British Columbia,Administrative and financial supervisors and administrative occupations [12],497.34,602.96,34.9,-1.13485495,-0.47693655
0,1-1998,2,1,1998,British Columbia,Administrative and financial supervisors and administrative occupations [12],522.13,633.02,35.5,-1.13485495,-0.47693655
0,1-1999,3,1,1999,British Columbia,Administrative and financial supervisors and administrative occupations [12],499.33,605.38,34,-1.13485495,-0.47693655
0,1-2000,4,1,2000,British Columbia,Administrative and financial supervisors and administrative occupations [12],510.38,618.77,34.7,-1.13485495,-0.47693655
0,1-2001,5,1,2001,British Columbia,Administrative and financial supervisors and administrative occupations [12],527.27,639.25,34.6,-1.13485495,-0.47693655
0,1-2002,6,1,2002,British Columbia,Administrative and financial supervisors and administrative occupations [12],537.96,652.21,34,-1.13485495,-0.47693655
0,1-2003,7,1,2003,British Columbia,Administrative and financial supervisors and administrative occupations [12],549.80,666.57,34.1,-1.13485495,-0.47693655
0,1-2004,8,1,2004,British Columbia,Administrative and financial supervisors and administrative occupations [12],567.54,688.08,34,-1.13485495,-0.47693655
0,1-2005,9,1,2005,British Columbia,Administrative and financial supervisors and administrative occupations [12],563.25,682.88,34.2,-1.13485495,-0.47693655
0,1-2006,10,1,2006,British Columbia,Administrative and financial supervisors and administrative occupations [12],570.28,691.4,34,-1.13485495,-0.47693655
0,1-2007,11,1,2007,British Columbia,Administrative and financial supervisors and administrative occupations [12],593.81,719.92,34.8,-1.13485495,-0.47693655
0,1-2008,12,1,2008,British Columbia,Administrative and financial supervisors and administrative occupations [12],622.00,754.1,34.4,-1.13485495,-0.47693655
