year,geo,naics,wage_rate
1997,Alberta,Accommodation and food services [72],258.06
1998,Alberta,Accommodation and food services [72],274.96
1999,Alberta,Accommodation and food services [72],274.35
2000,Alberta,Accommodation and food services [72],308.25
2001,Alberta,Accommodation and food services [72],313.89
2002,Alberta,Accommodation and food services [72],320.69
2003,Alberta,Accommodation and food services [72],327.26
2004,Alberta,Accommodation and food services [72],323.84
2005,Alberta,Accommodation and food services [72],366.31
2006,Alberta,Accommodation and food services [72],393.02
2007,Alberta,Accommodation and food services [72],430.09
2008,Alberta,Accommodation and food services [72],443.91
2009,Alberta,Accommodation and food services [72],459.34
2010,Alberta,Accommodation and food services [72],463.69
2011,Alberta,Accommodation and food services [72],452.85
2012,Alberta,Accommodation and food services [72],506.14
2013,Alberta,Accommodation and food services [72],487.25
2014,Alberta,Accommodation and food services [72],492.06
2015,Alberta,Accommodation and food services [72],490.81
2016,Alberta,Accommodation and food services [72],490.23
2017,Alberta,Accommodation and food services [72],510.81
2018,Alberta,Accommodation and food services [72],547.07
2019,Alberta,Accommodation and food services [72],537.08
2020,Alberta,Accommodation and food services [72],536.08
1997,British Columbia,Accommodation and food services [72],435.11
1998,British Columbia,Accommodation and food services [72],423.69
1999,British Columbia,Accommodation and food services [72],446.93
2000,British Columbia,Accommodation and food services [72],460.03
2001,British Columbia,Accommodation and food services [72],466.89
2002,British Columbia,Accommodation and food services [72],508.59
2003,British Columbia,Accommodation and food services [72],539.68
2004,British Columbia,Accommodation and food services [72],497.5
2005,British Columbia,Accommodation and food services [72],566.15
2006,British Columbia,Accommodation and food services [72],585.54
2007,British Columbia,Accommodation and food services [72],668.23
2008,British Columbia,Accommodation and food services [72],710.83
2009,British Columbia,Accommodation and food services [72],727.6
2010,British Columbia,Accommodation and food services [72],746.36
2011,British Columbia,Accommodation and food services [72],735.99
2012,British Columbia,Accommodation and food services [72],790.33
2013,British Columbia,Accommodation and food services [72],865.47
2014,British Columbia,Accommodation and food services [72],835.07
2015,British Columbia,Accommodation and food services [72],921.16
2016,British Columbia,Accommodation and food services [72],883.86
2017,British Columbia,Accommodation and food services [72],867.1
2018,British Columbia,Accommodation and food services [72],854.94
2019,British Columbia,Accommodation and food services [72],932.95
2020,British Columbia,Accommodation and food services [72],986.85
1997,Manitoba,Accommodation and food services [72],640.03
1998,Manitoba,Accommodation and food services [72],686.45
1999,Manitoba,Accommodation and food services [72],698.73
2000,Manitoba,Accommodation and food services [72],720.25
2001,Manitoba,Accommodation and food services [72],794.16
2002,Manitoba,Accommodation and food services [72],799.7
2003,Manitoba,Accommodation and food services [72],809.72
2004,Manitoba,Accommodation and food services [72],839.41
2005,Manitoba,Accommodation and food services [72],887.49
2006,Manitoba,Accommodation and food services [72],962.79
2007,Manitoba,Accommodation and food services [72],1001.18
2008,Manitoba,Accommodation and food services [72],1079.51
2009,Manitoba,Accommodation and food services [72],1131.22
2010,Manitoba,Accommodation and food services [72],1144.32
2011,Manitoba,Accommodation and food services [72],1198.14
2012,Manitoba,Accommodation and food services [72],1263.94
2013,Manitoba,Accommodation and food services [72],1251.95
2014,Manitoba,Accommodation and food services [72],1308.16
2015,Manitoba,Accommodation and food services [72],1345.06
2016,Manitoba,Accommodation and food services [72],1375.94
2017,Manitoba,Accommodation and food services [72],1373.51
2018,Manitoba,Accommodation and food services [72],1322.93
2019,Manitoba,Accommodation and food services [72],1395.64
2020,Manitoba,Accommodation and food services [72],1437.43
1997,New Brunswick,Accommodation and food services [72],658.91
1998,New Brunswick,Accommodation and food services [72],646.53
1999,New Brunswick,Accommodation and food services [72],663.2
2000,New Brunswick,Accommodation and food services [72],662.23
2001,New Brunswick,Accommodation and food services [72],697.87
2002,New Brunswick,Accommodation and food services [72],763.79
2003,New Brunswick,Accommodation and food services [72],784.61
2004,New Brunswick,Accommodation and food services [72],797.6
2005,New Brunswick,Accommodation and food services [72],840.34
2006,New Brunswick,Accommodation and food services [72],887.07
2007,New Brunswick,Accommodation and food services [72],924.14
2008,New Brunswick,Accommodation and food services [72],961.71
2009,New Brunswick,Accommodation and food services [72],995.97
2010,New Brunswick,Accommodation and food services [72],1028.46
2011,New Brunswick,Accommodation and food services [72],1050.76
2012,New Brunswick,Accommodation and food services [72],1103.74
2013,New Brunswick,Accommodation and food services [72],1070.49
2014,New Brunswick,Accommodation and food services [72],1093.36
2015,New Brunswick,Accommodation and food services [72],1168.32
2016,New Brunswick,Accommodation and food services [72],1164.89
2017,New Brunswick,Accommodation and food services [72],1179.7
2018,New Brunswick,Accommodation and food services [72],1197.09
2019,New Brunswick,Accommodation and food services [72],1156.88
2020,New Brunswick,Accommodation and food services [72],1298.22
1997,Newfoundland and Labrador,Accommodation and food services [72],574.69
1998,Newfoundland and Labrador,Accommodation and food services [72],557.83
1999,Newfoundland and Labrador,Accommodation and food services [72],594.41
2000,Newfoundland and Labrador,Accommodation and food services [72],574.33
2001,Newfoundland and Labrador,Accommodation and food services [72],670.67
2002,Newfoundland and Labrador,Accommodation and food services [72],654.31
2003,Newfoundland and Labrador,Accommodation and food services [72],674.61
2004,Newfoundland and Labrador,Accommodation and food services [72],686.65
2005,Newfoundland and Labrador,Accommodation and food services [72],716.43
2006,Newfoundland and Labrador,Accommodation and food services [72],799.6
2007,Newfoundland and Labrador,Accommodation and food services [72],813.69
2008,Newfoundland and Labrador,Accommodation and food services [72],930.54
2009,Newfoundland and Labrador,Accommodation and food services [72],900.17
2010,Newfoundland and Labrador,Accommodation and food services [72],893.79
2011,Newfoundland and Labrador,Accommodation and food services [72],892.71
2012,Newfoundland and Labrador,Accommodation and food services [72],1008.43
2013,Newfoundland and Labrador,Accommodation and food services [72],1059.1
2014,Newfoundland and Labrador,Accommodation and food services [72],1091.14
2015,Newfoundland and Labrador,Accommodation and food services [72],1110.59
2016,Newfoundland and Labrador,Accommodation and food services [72],1139.78
2017,Newfoundland and Labrador,Accommodation and food services [72],1114.63
2018,Newfoundland and Labrador,Accommodation and food services [72],1222.08
2019,Newfoundland and Labrador,Accommodation and food services [72],1201.76
2020,Newfoundland and Labrador,Accommodation and food services [72],1329.59
1997,Nova Scotia,Accommodation and food services [72],501.33
1998,Nova Scotia,Accommodation and food services [72],507.38
1999,Nova Scotia,Accommodation and food services [72],515.41
2000,Nova Scotia,Accommodation and food services [72],535.24
2001,Nova Scotia,Accommodation and food services [72],575.61
2002,Nova Scotia,Accommodation and food services [72],601.2
2003,Nova Scotia,Accommodation and food services [72],617.91
2004,Nova Scotia,Accommodation and food services [72],630.87
2005,Nova Scotia,Accommodation and food services [72],670.69
2006,Nova Scotia,Accommodation and food services [72],731.03
2007,Nova Scotia,Accommodation and food services [72],782.2
2008,Nova Scotia,Accommodation and food services [72],838.4
2009,Nova Scotia,Accommodation and food services [72],862.87
2010,Nova Scotia,Accommodation and food services [72],856.04
2011,Nova Scotia,Accommodation and food services [72],895.25
2012,Nova Scotia,Accommodation and food services [72],901.5
2013,Nova Scotia,Accommodation and food services [72],1011.97
2014,Nova Scotia,Accommodation and food services [72],1015.74
2015,Nova Scotia,Accommodation and food services [72],1007.52
2016,Nova Scotia,Accommodation and food services [72],1060.66
2017,Nova Scotia,Accommodation and food services [72],1072.65
2018,Nova Scotia,Accommodation and food services [72],1056.76
