year,geo,occ,wage_rate
1997,Newfoundland and Labrador,"Total employees, all occupations",495.12
1998,Newfoundland and Labrador,"Total employees, all occupations",492.86
1999,Newfoundland and Labrador,"Total employees, all occupations",497.16
2000,Newfoundland and Labrador,"Total employees, all occupations",526.21
2001,Newfoundland and Labrador,"Total employees, all occupations",549.93
2002,Newfoundland and Labrador,"Total employees, all occupations",567.79
2003,Newfoundland and Labrador,"Total employees, all occupations",589.28
2004,Newfoundland and Labrador,"Total employees, all occupations",588.34
2005,Newfoundland and Labrador,"Total employees, all occupations",617.83
2006,Newfoundland and Labrador,"Total employees, all occupations",642.61
2007,Newfoundland and Labrador,"Total employees, all occupations",674.45
2008,Newfoundland and Labrador,"Total employees, all occupations",734.6
2009,Newfoundland and Labrador,"Total employees, all occupations",753.93
2010,Newfoundland and Labrador,"Total employees, all occupations",791.75
2011,Newfoundland and Labrador,"Total employees, all occupations",832.7
2012,Newfoundland and Labrador,"Total employees, all occupations",896.32
2013,Newfoundland and Labrador,"Total employees, all occupations",924.44
2014,Newfoundland and Labrador,"Total employees, all occupations",966.33
2015,Newfoundland and Labrador,"Total employees, all occupations",953.71
2016,Newfoundland and Labrador,"Total employees, all occupations",943.11
2017,Newfoundland and Labrador,"Total employees, all occupations",970.76
2018,Newfoundland and Labrador,"Total employees, all occupations",983.86
1997,Newfoundland and Labrador,Management occupations [0],724.02
1998,Newfoundland and Labrador,Management occupations [0],678.75
1999,Newfoundland and Labrador,Management occupations [0],728.28
2000,Newfoundland and Labrador,Management occupations [0],784.47
2001,Newfoundland and Labrador,Management occupations [0],854.6
2002,Newfoundland and Labrador,Management occupations [0],917.72
2003,Newfoundland and Labrador,Management occupations [0],879.75
2004,Newfoundland and Labrador,Management occupations [0],931.71
2005,Newfoundland and Labrador,Management occupations [0],954.8
2006,Newfoundland and Labrador,Management occupations [0],968.73
2007,Newfoundland and Labrador,Management occupations [0],969.27
2008,Newfoundland and Labrador,Management occupations [0],1107.07
2009,Newfoundland and Labrador,Management occupations [0],1095.27
2010,Newfoundland and Labrador,Management occupations [0],1160.43
2011,Newfoundland and Labrador,Management occupations [0],1261.25
2012,Newfoundland and Labrador,Management occupations [0],1307.75
2013,Newfoundland and Labrador,Management occupations [0],1432.84
2014,Newfoundland and Labrador,Management occupations [0],1448.56
2015,Newfoundland and Labrador,Management occupations [0],1513.06
2016,Newfoundland and Labrador,Management occupations [0],1526.65
2017,Newfoundland and Labrador,Management occupations [0],1502.87
